Year,Position,Teams,Played,Won,Loss,No Result,Net Run Rate,Points
2008,1,RR,14,11,3,0,0.632,22
2008,2,PBKS,14,10,4,0,0.509,20
2008,3,CSK,14,8,6,0,-0.192,16
2008,4,DC,14,7,6,1,0.342,15
2008,5,MI,14,7,7,0,0.57,14
2008,6,KKR,14,6,7,1,-0.147,13
2008,7,RCB,14,4,10,0,-1.16,8
2008,8,DCH,14,2,12,0,-0.467,4
,,,,,,,,
2009,1,DC,14,10,4,0,0.311,20
2009,2,CSK,14,8,5,1,0.951,17
2009,3,RCB,14,8,6,0,-0.191,16
2009,4,DCH,14,7,7,0,0.203,14
2009,5,PBKS,14,7,7,0,-0.483,14
2009,6,RR,14,6,7,1,-0.352,13
2009,7,MI,14,5,8,1,0.297,11
2009,8,KKR,14,3,10,1,-0.789,7
,,,,,,,,
2010,1,MI,14,10,4,0,1.084,20
2010,2,DCH,14,8,6,0,-0.297,16
2010,3,CSK,14,7,7,0,0.274,14
2010,4,RCB,14,7,7,0,0.219,14
2010,5,DC,14,7,7,0,0.021,14
2010,6,KKR,14,7,7,0,-0.341,14
2010,7,RR,14,6,8,0,-0.514,12
2010,8,PBKS,14,4,10,0,-0.478,8
,,,,,,,,
2011,1,RCB,14,9,4,1,0.326,19
2011,2,CSK,14,9,5,0,0.443,18
2011,3,MI,14,9,5,0,0.04,18
2011,4,KKR,14,8,6,0,0.433,16
2011,5,PBKS,14,7,7,0,-0.051,14
2011,6,RR,14,6,7,1,-0.691,13
2011,7,DCH,14,6,8,0,0.222,12
2011,8,KTK,14,6,8,0,-0.214,12
2011,9,PWI,14,4,9,1,-0.134,9
2011,10,DC,14,4,9,1,-0.448,9
,,,,,,,,
2012,1,DC,16,11,5,0,0.617,22
2012,2,KKR,16,10,5,1,0.561,21
2012,3,MI,16,10,6,0,-0.1,20
2012,4,CSK,16,8,7,1,0.1,17
2012,5,RCB,16,8,7,1,-0.022,17
2012,6,PBKS,16,8,8,0,-0.216,16
2012,7,RR,16,7,9,0,0.201,14
2012,8,DCH,16,4,11,1,-0.509,9
2012,9,PWI,16,4,12,0,-0.551,8
,,,,,,,,
2013,1,CSK,16,11,5,0,0.53,22
2013,2,MI,16,11,5,0,0.441,22
